,Asterias amurensis,Macroalgae,Particulate organic matter,Herbivores,Benthic fish,Echinoderms (O),Echinoids (O),Crustaceans (P),Amphipods (P),Echinoderms (P),Gastropods (P),Anemones (P),Pycnogonids (P),Polychaetes (P)
Asterias amurensis,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Macroalgae,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Particulate organic matter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herbivores,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benthic fish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Echinoderms (O),1,0,0,0,0,0,0,0,0,1,0,0,0,0
Echinoids (O),0,0,0,0,0,0,0,0,0,0,0,0,0,1
Crustaceans (P),0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amphipods (P),0,0,0,0,0,0,0,0,0,0,0,0,0,1
Echinoderms (P),0,0,0,0,0,1,0,0,0,0,0,0,0,1
Gastropods (P),0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anemones (P),0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pycnogonids (P),0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polychaetes (P),1,0,0,0,0,0,1,0,1,1,0,1,0,0
